Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
343 FRESH POND PKWY,260-73,260,73,15000,334,Commercial,GAS-STATION, ,0, , , , ,"(42.385374671800001, -71.140880839399898)"
3 STEARNS ST,228-45,228,45,3355,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385423992299899, -71.131627831299895)"
5 FOREST ST,153-12,153,12,2391,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3854486960999, -71.118443557800006)"
245 GROVE ST,266-3,266,3,10080,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3854572738, -71.1594225593999)"
33-35 SHERMAN ST,228-21,228,21,3200,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385451054500002, -71.130734755500001)"
7 FOREST ST,153-11,153,11,2392,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.3854376054, -71.118257016599898)"
158 CHILTON ST,262-81,262,81,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385451558699899, -71.135797015999898)"
33 FENNO ST,205-31,205,31,2880,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385423595299898, -71.129975419900006)"
25 HILLSIDE AVE,210-55,210,55,6264,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385369172700003, -71.124294206399895)"
10 WEST BELLEVUE AVE,206-22,206,22,5976,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385397288100002, -71.1272471760999)"
303 WALDEN ST,262-143,262,143,4330,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385404696099897, -71.132743002400005)"
15 HUMBOLDT ST,176-90,176,90,2370,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385418903800002, -71.121172871900001)"
60 FENNO ST,206-8,206,8,2158,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385423032699897, -71.129079459699895)"
167 FAYERWEATHER ST,262-69,262,69,3742,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385421588100002, -71.135422864800006)"
30 AGASSIZ ST,176-68,176,68,7904,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385342446499898, -71.121546824700005)"
2 IVY ST,262-38,262,38,4662,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385402698100002, -71.133581591999899)"
213 FAYERWEATHER ST,262-40,262,40,4422,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385360411199898, -71.133131458199898)"
28 SHERMAN ST,205-33,205,33,3200,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.385400534399899, -71.130199184800006)"
12 HUMBOLDT ST,176-44,176,44,5174,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385358666899897, -71.1207347215)"
72 ALPINE ST,262-59,262,59,4914,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385363190699898, -71.136991496600004)"
263 UPLAND RD,206-55,206,55,3528,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385369063100001, -71.128536506299895)"
1 STEARNS ST,228-28,228,28,2657,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.385363606299897, -71.131755486000003)"
56 FENNO ST,206-7,206,7,2228,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3853749114, -71.129197938900006)"
33 AGASSIZ ST,211-47,211,47,9620,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3852812298, -71.122208973699898)"
8 WYMAN ST,209-21,209,21,4970,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385325688199899, -71.125333627800003)"
49 WASHINGTON AVE,211-3,211,3,36650,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385067468300001, -71.123562171200007)"
145 CHILTON ST,262-55,262,55,4085,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385363231600003, -71.136484003999897)"
11-13 HURON AVE,206-62,206,62,2556,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385348586299898, -71.126853566500003)"
49 WINSLOW ST,206-46,206,46,11480,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385248406199899, -71.128881205200003)"
217 FAYERWEATHER ST,262-41,262,41,4171,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385310502700001, -71.132997210100001)"
33 HILLSIDE AVE,210-53,210,53,4496,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3852961694, -71.124521440999899)"
31 SHERMAN ST,228-22,228,22,3200,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385351350900002, -71.1306679035999)"
156 CHILTON ST,262-80,262,80,3600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385356131099996, -71.135873251999897)"
20 STEARNS ST,228-20,228,20,3200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385324483600002, -71.130901579600007)"
300 WALDEN ST,229-1,229,1,5617,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385280843300002, -71.132080072700006)"
13 HUMBOLDT ST,176-91,176,91,3242,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385319820100001, -71.121165698499894)"
178 FAYERWEATHER ST,262-85,262,85,5425,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.385353658200003, -71.134602326500001)"
52 FENNO ST,206-6,206,6,2298,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385328841700002, -71.129316545099897)"
369 CONCORD AVE,262-58,262,58,4500,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385297546899899, -71.136844014900007)"
165 FAYERWEATHER ST,262-70,262,70,3602,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3853266307, -71.135506639599896)"
172 FAYERWEATHER ST,262-84,262,84,4754,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3853139617, -71.134863783599897)"
186 FAYERWEATHER ST,262-86,262,86,4072,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385299787900003, -71.1344032505)"
15 HURON AVE,206-61,206,61,2556,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385292491199898, -71.126979255400002)"
26 SHERMAN ST,205-32,205,32,3200,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385302998699899, -71.130134564499897)"
71 AVON HILL ST,209-6,209,6,10348,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385210236100001, -71.125072102600001)"
18 STEARNS ST,228-19,228,19,3200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385274299199899, -71.131034101200001)"
46-48 FENNO ST,206-5,206,5,2367,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3852833292, -71.129434372199896)"
265 UPLAND RD,206-56,206,56,3808,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385266638600001, -71.128464081999894)"
272 UPLAND RD,206-75,206,75,4250,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3852515861999, -71.127875098499899)"
221 FAYERWEATHER ST,262-135,262,135,5610,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385238999999899, -71.1328258656999)"
192 FAYERWEATHER ST,262-129,262,129,4001,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3852532079, -71.134248392299895)"
10 HUMBOLDT ST,176-43,176,43,6487,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385195922400001, -71.120634925199894)"
365 CONCORD AVE,262-57,262,57,4500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385231602799898, -71.136701150999897)"
150 CHILTON ST,262-79,262,79,3600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385260313400003, -71.135950525200002)"
29 SHERMAN ST,228-23,228,23,3200,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385254160899898, -71.130600098299894)"
19 HURON AVE,206-27,206,27,3950,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385220624399899, -71.127140278799899)"
25 HURON AVE,206-85,206,85,4601,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385188077099897, -71.127345648200006)"
1759 MASSACHUSETTS AVE,154-111,154,111,4664,327,Commercial,RETAIL-CONDO, ,0, , ,YES, ,"(42.385186665299898, -71.119081878700001)"
44 FENNO ST,206-80,206,80,3190,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385229638200002, -71.129567885499895)"
11 HUMBOLDT ST,176-92,176,92,3101,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385230018400001, -71.121122995899896)"
16 STEARNS ST,228-18,228,18,3040,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385225488099898, -71.1311623787999)"
22-24 AGASSIZ ST,176-57,176,57,6924,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385173845799898, -71.121491774000006)"
2 FOREST ST,154-112,154,112,6292,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.385175836199899, -71.1188601721)"
302-304 WALDEN ST,229-88,229,88,5934,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385177912400003, -71.132179834499894)"
374 CONCORD AVE,260-34,260,34,4500,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385204152900002, -71.137703926399894)"
241 GROVE ST,266-4,266,4,10080,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3852423368999, -71.159283519200002)"
36 LANCASTER ST,211-21,211,21,11700,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385118588799898, -71.122639806099897)"
2B FOREST ST,154-113,154,113,4416,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385161639000003, -71.118634713000006)"
196 FAYERWEATHER ST,262-130,262,130,4565,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385195867299899, -71.134100582900004)"
159 FAYERWEATHER ST,262-71,262,71,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385231783999899, -71.135584452900005)"
4 FOREST ST,154-76,154,76,3960,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3851509656999, -71.118456705900002)"
6 FOREST ST,154-77,154,77,3956,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385141415500001, -71.1182911727999)"
170 FAYERWEATHER ST,262-83,262,83,4716,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385192937299898, -71.1349871339999)"
8 FOREST ST,154-114,154,114,7478,112,Residential,>8-UNIT-APT, ,12, , , , ,"(42.385110023400003, -71.118067944100005)"
10 STEARNS ST,228-17,228,17,3040,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385178082800003, -71.131286563499899)"
361 CONCORD AVE,262-56,262,56,4914,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385165672500001, -71.136545692599896)"
16 HILLSIDE AVE,211-52,211,52,3600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3851454003999, -71.123863043900002)"
43-45 WINSLOW ST,206-47,206,47,10330,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.3851020615, -71.1292165971999)"
269 UPLAND RD,206-29,206,29,4500,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385156869100001, -71.128376044700005)"
27 AGASSIZ ST,211-48,211,48,8580,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385106886400003, -71.122103725000002)"
40 FENNO ST,206-79,206,79,3375,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385169197700002, -71.129721703900003)"
29-31 HURON AVE,206-84,206,84,4538,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385120993999898, -71.127490358700001)"
10 FOREST ST,154-62,154,62,6600,112,Residential,>8-UNIT-APT, ,18, , , , ,"(42.385108238599898, -71.117791854000004)"
200 FAYERWEATHER ST,262-89,262,89,4545,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385146569100002, -71.133941040799897)"
372 CONCORD AVE,260-35,260,35,4414,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3851378074, -71.137558620799894)"
37 COPLEY ST,262-104,262,104,3895,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385138302800001, -71.134729019100007)"
27 SHERMAN ST,228-24,228,24,3200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385157944100001, -71.130533648300002)"
9 HUMBOLDT ST,176-32,176,32,2380,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385152374599897, -71.121082931199894)"
146 CHILTON ST,262-78,262,78,3600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385164267500002, -71.136028660700006)"
16 FOREST ST,154-91,154,91,30411,112,Residential,>8-UNIT-APT, ,57, , , , ,"(42.3850163424, -71.116998689699898)"
2 STEARNS ST,228-53,228,53,3883,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385132354200003, -71.1314360265999)"
15 FENNO ST,228-25,228,25,3200,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385128843399897, -71.130767266000007)"
18 HILLSIDE AVE,211-51,211,51,3600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385095990799897, -71.124016884300005)"
63 AVON HILL ST,209-7,209,7,14368,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3850200933, -71.124960173299897)"
308 WALDEN ST,229-89,229,89,5962,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385078459299898, -71.132289127000007)"
206 FAYERWEATHER ST,262-90,262,90,4719,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385094459800001, -71.133788223899899)"
77 RAYMOND ST,209-64,209,64,13370,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385020766799897, -71.125685156900005)"
155-157 FAYERWEATHER ST,262-72,262,72,3600,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385135922899899, -71.1356619921999)"
3 LINNAEAN ST,176-53,176,53,24154,112,Residential,>8-UNIT-APT, ,37, , , , ,"(42.384993323400003, -71.119982422500001)"
33 HURON AVE,206-83,206,83,4474,101,Residential,SNGL-FAM-RES, ,2, , , , ,"(42.385054788300003, -71.127632826799896)"
31 COPLEY ST,262-103,262,103,4208,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3850829699999, -71.134574094399895)"
24 SHERMAN ST,206-1,206,1,3200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385110377700002, -71.130001855200007)"
20 FOREST ST,154-93,154,93,3934,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385032605299898, -71.1164779385999)"
9 FENNO ST,228-26,228,26,3200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385078727600003, -71.130899718999899)"
146 GARDEN ST,229-107,229,107,7430,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384981111499897, -71.131967622600001)"
30 HILLSIDE AVE,211-1,211,1,10350,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384987045000003, -71.124246969799898)"
22 FOREST ST,154-94,154,94,2827,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.385043052100002, -71.116300367099896)"
7 HUMBOLDT ST,176-71,176,71,5191,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385040423299898, -71.121020698500004)"
208-210 FAYERWEATHER ST,262-91,262,91,4893,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385043007900002, -71.133633564500002)"
18 AGASSIZ ST,176-56,176,56,6106,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3850203217999, -71.121410612399899)"
4 HUMBOLDT ST,176-73,176,73,4131,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385038247200001, -71.120572989500005)"
130 OXFORD ST,151-14,151,14,7000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385024650600002, -71.115851844000005)"
273 UPLAND RD,206-30,206,30,4500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385036105600001, -71.128290645500002)"
29 WINSLOW ST,206-48,206,48,10450,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.384965622000003, -71.129513109800001)"
355 CONCORD AVE,262-77,262,77,4414,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.385029274200001, -71.136232025699897)"
48-56 WINSLOW ST,206-45,206,45,10220,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.384949417800001, -71.128636098599898)"
27 COPLEY ST,262-102,262,102,4342,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.385022804400002, -71.1344265355999)"
26 FOREST ST,151-3,151,3,3295,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384997851900003, -71.115544798299894)"
317 FRESH POND PKWY,260-74,260,74,15000,332,Commercial,AUTO-REPAIR, ,0, , , , ,"(42.384963750300003, -71.140933578599899)"
5 FENNO ST,228-27,228,27,3200,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385028976500003, -71.131030558299898)"
37 HURON AVE,206-82,206,82,4160,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384995411200002, -71.127770664899899)"
312-314 WALDEN ST,229-90,229,90,6012,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384980999, -71.132395864900005)"
212 FAYERWEATHER ST,262-92,262,92,4010,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3850185127, -71.133454284300001)"
151 FAYERWEATHER ST,262-73,262,73,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385039060499899, -71.135738300200003)"
370 CONCORD AVE,260-19,260,19,4914,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.385012350099899, -71.137278450400004)"
19-21 AGASSIZ ST,211-24,211,24,9100,112,Residential,>8-UNIT-APT, ,18, , , , ,"(42.384935615700002, -71.122002681400005)"
231 GROVE ST,266-5,266,5,10080,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.385032009600003, -71.159147720199897)"
142 GARDEN ST,229-3,229,3,5503,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384965063400003, -71.131711442300002)"
1753 MASSACHUSETTS AVE,154-64,154,64,3192,340,Office,GEN-OFFICE, ,0, , , , ,"(42.385011562099898, -71.119044351200003)"
26 WASHINGTON AVE,211-34,211,34,22188,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384791884999899, -71.122444227100004)"
9 GRAY GDNS E,207-74,207,74,10108,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3848920533, -71.1269519352999)"
33 WASHINGTON AVE,211-54,211,54,13022,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.3848819615, -71.123230050499899)"
135 GARDEN ST,228-46,228,46,4672,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384974472000003, -71.131197295600003)"
25 COPLEY ST,262-101,262,101,4477,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384962957600003, -71.134279523999894)"
351 CONCORD AVE,262-76,262,76,4500,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384965883299898, -71.136087978299898)"
53 ALPINE ST,260-63,260,63,6103,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384970868899899, -71.137788493100004)"
1 EXETER PK,154-66,154,66,3420,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384948311099897, -71.118814511500005)"
325 WALDEN ST,262-93,262,93,5238,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3849840138, -71.133171963699894)"
3 EXETER PK,154-67,154,67,3420,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3849392829, -71.118647839399898)"
158 FAYERWEATHER ST,262-105,262,105,4915,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384986276600003, -71.135158545699895)"
368 CONCORD AVE,260-20,260,20,5000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384946267099899, -71.137121881900001)"
5 EXETER PK,154-68,154,68,3420,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.384929051500002, -71.118481727800003)"
25 SHERMAN ST,228-52,228,52,2000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384979473500003, -71.130353591000002)"
53 RAYMOND ST,209-46,209,46,16366,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.384821530799897, -71.125567602000004)"
14 AGASSIZ ST,176-34,176,34,16578,112,Residential,>8-UNIT-APT, ,65, , , , ,"(42.384777535600001, -71.121245693199896)"
7 LINNAEAN ST,176-74,176,74,7125,112,Residential,>8-UNIT-APT, ,13, , ,YES, ,"(42.384859807200002, -71.120492711099899)"
283 UPLAND RD,206-31,206,31,8738,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.384855698700001, -71.1281623908)"
19 COPLEY ST,262-100,262,100,4610,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3849039499, -71.134132577900004)"
316-318 WALDEN ST,229-91,229,91,6065,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384881567400001, -71.132497594599897)"
20 SHERMAN ST,206-50,206,50,5127,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384905998000001, -71.129850555700003)"
51 FROST ST,154-63,154,63,4650,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384905224500002, -71.117812421099899)"
149 FAYERWEATHER ST,262-133,262,133,8914,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3848768963, -71.135869442699899)"
8 R FOREST ST,154-115,154,115,3772,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.384906917099897, -71.118099185600002)"
11 LINNAEAN ST,176-72,176,72,7946,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384811219299898, -71.120892729299896)"
57 AVON HILL ST,209-8,209,8,7097,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3848544178, -71.124862643499895)"
364 CONCORD AVE,263-127,263,127,4050,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384890212999899, -71.136956699300001)"
1751 MASSACHUSETTS AVE,154-65,154,65,3192,340,Office,GEN-OFFICE, ,0, , , , ,"(42.384909957300003, -71.119055581300003)"
50 FROST ST,154-35,154,35,3612,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.384895863200001, -71.117363655000005)"
18 FENNO ST,228-51,228,51,1200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3849281926, -71.130489475100006)"
17 COPLEY ST,262-99,262,99,4747,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.384843890500001, -71.133985409299896)"
328 WALDEN ST,229-93,229,93,6210,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384682086200002, -71.132709443300001)"
30 COPLEY ST,262-108,262,108,4285,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384706510999898, -71.134704164799899)"
61 HURON AVE,206-33,206,33,3692,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384692077099899, -71.128501360300007)"
47 RAYMOND ST,209-11,209,11,16736,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384601007800001, -71.125437426399898)"
337 WALDEN ST,262-96,262,96,5518,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3846990025, -71.133543252400003)"
125B OXFORD ST,154-128,154,128,1673,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3847454974999, -71.116395917999895)"
32 WINSLOW ST,206-88,206,88,3492,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384655458300003, -71.129172690000004)"
134 GARDEN ST,229-113,229,113,3446,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.384693312800003, -71.131327844400005)"
126-1 OXFORD ST,151-111,151,111,1419,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3847230927, -71.115603444399895)"
32 DONNELL ST,229-129,229,129,1775,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384741050199899, -71.131500883499896)"
1749 MASSACHUSETTS AVE,154-73,154,73,3382,340,Office,GEN-OFFICE, ,0, , , , ,"(42.3847083389999, -71.119074193100005)"
44 AVON HILL ST,211-19,211,19,5000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384664491099898, -71.124055557299897)"
126-C OXFORD ST,151-113,151,113,1248,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384667980300001, -71.1157433983999)"
356 CONCORD AVE,263-22,263,22,4914,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3846848831, -71.136543212999896)"
126-4 OXFORD ST,151-114,151,114,1266,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384666577600001, -71.1158182275)"
12 AVON PL,211-15,211,15,6400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384630721500002, -71.123544353599897)"
126-5 OXFORD ST,151-115,151,115,1632,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384662012, -71.115892013700005)"
1740 MASSACHUSETTS AVE,175-37,175,37,12424,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.384584666099897, -71.119831830600006)"
335 CONCORD AVE,262-124,262,124,4328,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384653775899899, -71.135344297200007)"
43 ALPINE ST,260-65,260,65,5040,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384691556600004, -71.138015088200007)"
125 CHILTON ST,263-4,263,4,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384704596200002, -71.137007885299894)"
126 OXFORD ST PS1,151-116,151,116,330,106,Transportation,RES-LAND-IMP, ,0, , , , ,"(42.384730075, -71.115982935900007)"
2 EXETER PK,154-72,154,72,2411,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384694261200003, -71.1188138853)"
11 GRAY GDNS E,207-40,207,40,8426,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3845782211, -71.127134918099898)"
24 COPLEY ST,262-109,262,109,4286,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384645562800003, -71.134566832000004)"
4 EXETER PK,154-71,154,71,2406,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3846800699, -71.1185937768999)"
125A OXFORD ST,154-127,154,127,2480,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384688681999897, -71.116397125199896)"
64 FROST ST,154-33,154,33,3625,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.384608260900002, -71.117474232600003)"
65 HURON AVE,206-34,206,34,3512,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384629503299898, -71.128625248600002)"
28 WINSLOW ST,206-89,206,89,5140,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384596154299899, -71.129292823399894)"
29 PRENTISS ST,154-32,154,32,3651,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384597145100003, -71.117315351000002)"
126 OXFORD ST,151-117,151,117,255,106,Transportation,RES-LAND-IMP, ,0, , , , ,"(42.384699588399897, -71.115980184999898)"
42 HURON AVE,207-17,207,17,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3846201705, -71.1276837594)"
129 GARDEN ST,228-5,228,5,2355,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3846718146999, -71.130814627000007)"
352 CONCORD AVE,263-23,263,23,5000,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384618697000001, -71.136385016299897)"
25 DONNELL ST,229-124,229,124,6034,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384612551399897, -71.132136585500007)"
127 GARDEN ST,228-50,228,50,4942,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3846206682, -71.130584793599894)"
330 WALDEN ST,229-94,229,94,6296,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384583519899898, -71.132819295900006)"
3 BATES ST,209-40,209,40,8253,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384552004600003, -71.124513305299899)"
