ID,PrimaryStreet,LocationDescription,Location,Source,1972,1981,1987,1989,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,AMPeak1972,AMPeak1981,AMPeak1987,AMPeak1989,AMPeak1994,AMPeak1995,AMPeak1996,AMPeak1997,AMPeak1998,AMPeak1999,AMPeak2000,AMPeak2001,AMPeak2002,AMPeak2003,AMPeak2004,AMPeak2005,AMPeak2006,AMPeak2007,AMPeak2008,AMPeak2009,AMPeak2010,AMPeak2011,AMPeak2012,AMPeak2013,AMPeak2014,PMPeak1972,PMPeak1981,PMPeak1987,PMPeak1989,PMPeak1994,PMPeak1995,PMPeak1996,PMPeak1997,PMPeak1998,PMPeak1999,PMPeak2000,PMPeak2001,PMPeak2002,PMPeak2003,PMPeak2004,PMPeak2005,PMPeak2006,PMPeak2007,PMPeak2008,PMPeak2009,PMPeak2010,PMPeak2011,PMPeak2012,PMPeak2013,PMPeak2014
102,Western Avenue,West of Blackstone Street,"(42.364380520799898, -71.115158103100001)","Harvard's Grant/Cowperthwaite Project Transportation Study, Dec. 2004. ADT is May 2004. 2013 TP&T Citywide Counts, but Memorial Drive was under construction so no data entered;",,,,,,,,,,0,,,,,19416,,0,,0,,,0,,,,,,,,,,,,,0,,,,,1176,,,,0,,,0,,,,,,,,,,,,,0,,,,,1331,,,,0,,,0,,,
103,Massachusetts Avenue,East of Sidney Street,"(42.362867000400001, -71.099394999799898)","MIT Pacific Street Dormitory, TIS, May 2000. ADT counts Feb. 1999.  TPT Cambridgeport ADT's May 2011 - Mass. Avenue just east of State Street. April 2013 counts  (300 Mass. Ave TIS).",,,,,,,,,,19440,,,,,,,0,,0,,,15219,,13566,,,,,,,,,,,1090,,,,,,,,,0,,,0,,798,,,,,,,,,,,1350,,,,,,,,,0,,,0,,952,
104,Sidney Street,North of Pacific Street,"(42.360534064600003, -71.1022556984)","MIT Pacific Street Dormitory, TIS, May 2000. ADT counts are Feb. 1999.",,,,,,,,,,5250,,,,,,,0,,0,,,0,,,,,,,,,,,,,490,,,,,,,,,0,,,0,,,,,,,,,,,,,490,,,,,,,,,0,,,0,,,
105,Pacific Street,West of Landsdowne Street,"(42.360103975599898, -71.102043935799898)","MIT Pacific Street Dormitory, TIS, May 2000. ADT counts are Feb. 1999.",,,,,,,,,,2030,,,,,,,0,,0,,,0,,,,,,,,,,,,,185,,,,,,,,,0,,,0,,,,,,,,,,,,,205,,,,,,,,,0,,,0,,,
108,Amherst Street,East of Ames Street,"(42.360170698700003, -71.087091277499894)","MIT Media Lab, TIS, August 2000.",,,,,,,,,,0,4400,,,,,,0,,0,,,0,,,,,,,,,,,,,0,435,,,,,,,,0,,,0,,,,,,,,,,,,,0,360,,,,,,,,0,,,0,,,
109,Vassar Street,Southwest of Massachusetts Avenue,"(42.359736999699898, -71.095721999800006)","MIT Media Lab, TIS, August 2000.",,,,,,,,,,0,7950,,,,,,0,,0,,,0,,,,,,,,,,,,,0,780,,,,,,,,0,,,0,,,,,,,,,,,,,0,600,,,,,,,,0,,,0,,,
110,Massachusetts Avenue,Northwest of Memorial Drive,"(42.357796617699897, -71.092928087399898)","MIT Media Lab, TIS, August 2000.",,,,,,,,,,0,27200,,,,,,0,,0,,,0,,,,,,,,,,,,,0,1905,,,,,,,,0,,,0,,,,,,,,,,,,,0,1900,,,,,,,,0,,,0,,,
112,Ames Street,South of Main Street,"(42.3619101906, -71.088292751200001)","MIT Media Lab, TIS, August 2000. (ADT was 1999 for Ames St.)",,,,,,,,,,4670,,,,,,,0,,0,,,0,,,,,,,,,,,,,400,,,,,,,,,0,,,0,,,,,,,,,,,,,450,,,,,,,,,0,,,0,,,
118,Memorial Drive,South of Pleasant Street,"(42.358385188699899, -71.115498316200004)","784 Memorial Drive TIS, Dec. 14, 1999",,,,,,,,,,38255,,,,,,,0,,0,,,0,,,,,,,,,,,,,3085,,,,,,,,,0,,,0,,,,,,,,,,,,,3000,,,,,,,,,0,,,0,,,
119,Memorial Drive,North of Pleasant Street,"(42.359408860599899, -71.115665254999897)","784 Memorial Drive TIS, Dec. 14, 1999",,,,,,,,,,35596,,,,,,,0,,0,,,0,,,,,,,,,,,,,3075,,,,,,,,,0,,,0,,,,,,,,,,,,,3021,,,,,,,,,0,,,0,,,
120,Pleasant Street,North or East of Memorial Drive,"(42.358929000300002, -71.115197000199899)",784 Memorial Drive (Polaroid) Aug. 1997 count. Listed in 1999 TIS.,,,,,,,,1191,,0,,,,,,,0,,0,,,0,,,,,,,,,,,128,,0,,,,,,,,,0,,,0,,,,,,,,,,,63,,0,,,,,,,,,0,,,0,,,
122,Florence Street,South of Pleasant Street,"(42.358595999999899, -71.1137689997)","784 Memorial Drive TIS, Dec. 14, 1999",,,,,,,,,,1256,,,,,,,0,,0,,,0,,,,,,,,,,,,,44,,,,,,,,,0,,,0,,,,,,,,,,,,,179,,,,,,,,,0,,,0,,,
123,Pleasant Street,North or East of Chestnut Street,"(42.359709329399898, -71.1132527619)",784 Memorial Drive (Polaroid) Aug. 1997 count. Listed in 1999 TIS.,,,,,,,,1716,,0,,,,,,,0,,0,,,0,,,,,,,,,,,131,,0,,,,,,,,,0,,,0,,,,,,,,,,,259,,0,,,,,,,,,0,,,0,,,
125,Putnam Avenue,South of Pleasant Street,"(42.359945732200003, -71.112465947900006)","784 Memorial Drive TIS, Dec. 14, 1999",,,,,,,,,,6298,,,,,,,0,,0,,,0,,,,,,,,,,,,,530,,,,,,,,,0,,,0,,,,,,,,,,,,,748,,,,,,,,,0,,,0,,,
126,Putnam Avenue,North of Pleasant Street,"(42.360435000000003, -71.113133000000005)","784 Memorial Drive TIS, Dec. 14, 1999",,,,,,,,,,7447,,,,,,,0,,0,,,0,,,,,,,,,,,,,597,,,,,,,,,0,,,0,,,,,,,,,,,,,844,,,,,,,,,0,,,0,,,
127,Rindge Avenue,East of Alewife Brook Parkway,"(42.393944000399898, -71.139169000400003)","310-324 Rindge Avenue TIS, July 2000.",,,,,,,,,,0,12000,,,,,,0,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
130,Fulkerson Street,North of Binney Street,"(42.366876295600001, -71.088121001000005)","Proposed R&D Building, One Kendall,TIS Nov. 21, 2002",,,,,,,,,,0,,,3700,,,,0,,0,,,0,,,,,,,,,,,,,0,,,436,,,,,,0,,,0,,,,,,,,,,,,,0,,,416,,,,,,0,,,0,,,
131,Third Street,South of Linskey Way,"(42.364670382699899, -71.083005836500007)","303 Third Street Residential TIS,May 2003.",,,,,,,,,,0,,,,8700,,,0,,0,,,0,,,,,,,,,,,,,0,,,,667,,,,,0,,,0,,,,,,,,,,,,,0,,,,762,,,,,0,,,0,,,
132,Linskey Way,East of Third Street,"(42.365036664999899, -71.082213825799897)","303 Third Street Residential TIS,May 2003.",,,,,,,,,,0,,,,950,,,0,,0,,,0,,,,,,,,,,,,,0,,,,61,,,,,0,,,0,,,,,,,,,,,,,0,,,,120,,,,,0,,,0,,,
133,Broadway,West of Third Street,"(42.362894266600001, -71.084785377000003)","303 Third Street Residential TIS,May 2003.",,,,,,,,,,0,,,,16200,,,0,,0,,,0,,,,,,,,,,,,,0,,,,1124,,,,,0,,,0,,,,,,,,,,,,,0,,,,1208,,,,,0,,,0,,,
135,Vassar Street,Southwest of Main Street,"(42.362293411000003, -71.090549020799898)","Stata Research Center TIS, April 26, 1999.",,,,,,,,,,11765,,,,,,,0,,0,,,0,,,,,,,,,,,,,870,,,,,,,,,0,,,0,,,,,,,,,,,,,976,,,,,,,,,0,,,0,,,
138,Binney Street,East of Third Street,"(42.365653350499898, -71.0814931253)","286 third Street (Office/R&D Building) TIS, April 1999.",,,,,,,,,,12640,,,,,,,0,,0,,,0,,,,,,,,,,,,,1122,,,,,,,,,0,,,0,,,,,,,,,,,,,1235,,,,,,,,,0,,,0,,,
139,Fulkerson Street,North of Rogers Street,"(42.367367177600002, -71.087983190499898)","Proposed Office Telecommunications Development TIS, November 1999",,,,,,,,,,5283,,,,,,,0,,0,,,0,,,,,,,,,,,,,590,,,,,,,,,0,,,0,,,,,,,,,,,,,448,,,,,,,,,0,,,0,,,
140,Gore Street,West of Seventh Street,"(42.372720319800003, -71.085604379100005)","Proposed Star Market Expansion Twin City Plaza, TIS, May 2001.",,,,,,,,,,0,,6460,,,,,0,,0,,,0,,,,,,,,,,,,,0,,507,,,,,,,0,,,0,,,,,,,,,,,,,0,,386,,,,,,,0,,,0,,,
141,Sixth Street,South of Charles Street,"(42.3680938647, -71.085628174600004)","Proposed Office Telecommunications Development TIS, November 1999",,,,,,,,,,3045,,,,,,,0,,0,,,0,,,,,,,,,,,,,303,,,,,,,,,0,,,0,,,,,,,,,,,,,222,,,,,,,,,0,,,0,,,
143,McGrath O'Brien Highway,at Twin City Plaza,"(42.373530088400003, -71.081787881699896)","Proposed Star Market Expansion Twin City Plaza, TIS, May 2001.",,,,,,,,,,0,,34371,,,,,0,,0,,,0,,,,,,,,,,,,,0,,2797,,,,,,,0,,,0,,,,,,,,,,,,,0,,2184,,,,,,,0,,,0,,,
145,Cambridgepark Drive,West of Alewife Brook Parkway/East of Alewife Station Access Road.,"(42.3946476254999, -71.141683173299896)","30 Cambridge Park Drive, TIS 1999; 160 Cambridgepark Drive TIS, August 2008;  165 Cambridgepark Drive TIS, June 2012 (counts in May 2012).",,,,,,,,,,12100,,,,,,,0,,10069,,,0,9743,,,,,,,,,,,,910,,,,,,,,,905,,,0,783,,,,,,,,,,,,1228,,,,,,,,,1039,,,0,1000,,
155,Cambridgepark Drive,100 Cambridgepark Drive Site Driveway,"(42.394676000300002, -71.144296999999895)","150/180 Cambridgepark Dr R&D.  TIS July, 2008",,,,,,,,,,0,,,,,,,0,,849,,,0,,,,,,,,,,,,,0,,,,,,,,,93,,,0,,,,,,,,,,,,,0,,,,,,,,,137,,,0,,,
156,Cambridgepark Drive,150 Cambridgepark Drive Site Driveway - East,"(42.394929999699897, -71.146419000099897)","150/180 Cambridgepark Dr R&D.  TIS July, 2008",,,,,,,,,,0,,,,,,,0,,845,,,0,,,,,,,,,,,,,0,,,,,,,,,132,,,0,,,,,,,,,,,,,0,,,,,,,,,116,,,0,,,
157,Cambridgepark Drive,150 Cambridgepark Drive Site Driveway - West,"(42.395051000099897, -71.147039000199896)","150/180 Cambridgepark Dr R&D.  TIS July, 2008",,,,,,,,,,0,,,,,,,0,,184,,,0,,,,,,,,,,,,,0,,,,,,,,,34,,,0,,,,,,,,,,,,,0,,,,,,,,,22,,,0,,,
158,BU Bridge,BU Bridge,"(42.352819689199897, -71.110567431299899)","DCR BU Bridge Rehabilitation project, 2009. June 2009 Presentation.",,,,,,,,,,0,,,,,,,0,,0,35400,,0,,,,,,,,,,,,,0,,,,,,,,,0,2690,,0,,,,,,,,,,,,,0,,,,,,,,,0,3040,,0,,,
159,Mt. Auburn St,at Athens Street,"(42.370753000000001, -71.115181000500002)","Zero Arrow TIS, Jan. 27, 2003.",,,,,,,,,,0,,,9860,,,,0,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
160,Arrow Street,South of Mass. Ave.,"(42.371244477399898, -71.114919893000007)","Zero Arrow TIS, Jan. 27, 2003.",,,,,,,,,,0,,,2030,,,,0,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
161,Massachusetts Avenue,East of Arrow Street,"(42.37071933, -71.113754047599897)","Zero Arrow TIS, Jan. 27, 2003. 2013 TP&T Citywide Counts;",,,,,,,,,,0,,,11670,,,,0,,0,,,0,,8230,,,,,,,,,,,0,,,,,,,,,0,,,0,,690,,,,,,,,,,,0,,,,,,,,,0,,,0,,1072,
162,Massachusetts Avenue,North/West of Albany Street,"(42.360992252099898, -71.096269526699899)","Necco (Novartis Expansion) TIS, April 2005. Novartis R&D Expansion, TIS, 9/2011 (counts done in May 2011). April 2013 counts from Citywide Counts (used wed &thur Average)",,,,,,,,,,0,,,,,,18050,0,,0,,,18543,,16377,,,,,,,,,,,0,,,,,,1204,,,0,,,1118,,915,,,,,,,,,,,0,,,,,,1325,,,0,,,1233,,1020,
164,O'Brien Highway,West of Land Boulevard.,"(42.369500414100003, -71.073892633300005)","Proposed North Point Residential Development, CE Smith/Archstone, March 2002, Vanasse&Assoc.",,,,,,,,,,0,,37900,,,,,0,,0,,,0,,,,,,,,,,,,,0,,2203,,,,,,,0,,,0,,,,,,,,,,,,,0,,2168,,,,,,,0,,,0,,,
165,Cambridge Street,East of Prescott Street,"(42.375300056999897, -71.113005125399894)","Harvard University Knafel Project TIS, July 2000, VHB.",,,,,,,,,,0,14500,,,,,,0,,0,,,0,,,,,,,,,,,,,0,1170,,,,,,,,0,,,0,,,,,,,,,,,,,0,1040,,,,,,,,0,,,0,,,
166,Oxford Street,South of Sacramento Street,"(42.382441743000001, -71.116216745299894)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,6576,,,0,,0,,,0,,,,,,,,,,,,,0,,,,609,,,,,0,,,0,,,,,,,,,,,,,0,,,,543,,,,,0,,,0,,,
168,Oxford Street,South of Everett Street,"(42.379643131100003, -71.116519099499897)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,7123,,,0,,0,,,0,,,,,,,,,,,,,0,,,,562,,,,,0,,,0,,,,,,,,,,,,,0,,,,605,,,,,0,,,0,,,
167,Oxford Street,South of Hammond Street,"(42.380790830000002, -71.116412593199897)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,6806,,,0,,0,,,0,,,,,,,,,,,,,0,,,,497,,,,,0,,,0,,,,,,,,,,,,,0,,,,668,,,,,0,,,0,,,
169,Sacramento Street,West of Oxford Street,"(42.382568347700001, -71.116493121000005)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,1041,,,0,,0,,,0,,,,,,,,,,,,,0,,,,70,,,,,0,,,0,,,,,,,,,,,,,0,,,,108,,,,,0,,,0,,,
170,Wendall Street,West of Oxford Street,"(42.381574667300001, -71.116578815899899)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,3872,,,0,,0,,,0,,,,,,,,,,,,,0,,,,308,,,,,0,,,0,,,,,,,,,,,,,0,,,,403,,,,,0,,,0,,,
171,Everett Street,West of Oxford Street,"(42.379836712900001, -71.116761673900001)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,3407,,,0,,0,,,0,,,,,,,,,,,,,0,,,,323,,,,,0,,,0,,,,,,,,,,,,,0,,,,307,,,,,0,,,0,,,
172,Kirkland Street,East of Oxford Street,"(42.376404851399897, -71.115242476199896)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,6773,,,0,,0,,,0,,,,,,,,,,,,,0,,,,573,,,,,0,,,0,,,,,,,,,,,,,0,,,,728,,,,,0,,,0,,,
173,Kirkland Street,East of Quincy Street,"(42.376661157100003, -71.113922365600004)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003). 2013 TP&T Citywide Counts(Used Wed &Thu Average)",,,,,,,,,,0,,,,10170,,,0,,0,,,0,,9163,,,,,,,,,,,0,,,,740,,,,,0,,,0,,615,,,,,,,,,,,0,,,,778,,,,,0,,,0,,680,
174,Quincy Street,North of Cambridge Street,"(42.376092926600002, -71.114238936600003)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,13099,,,0,,0,,,0,,,,,,,,,,,,,0,,,,919,,,,,0,,,0,,,,,,,,,,,,,0,,,,985,,,,,0,,,0,,,
175,Hammond Street,East of Oxford Street,"(42.380843432600003, -71.115939085799894)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,616,,,0,,0,,,0,,,,,,,,,,,,,0,,,,51,,,,,0,,,0,,,,,,,,,,,,,0,,,,60,,,,,0,,,0,,,
176,Francis Avenue,North of Kirkland Street,"(42.377534569600002, -71.111684615000001)","Harvard University North Campus Transportation Study, Feb. 2004. (ADT from March 2003).",,,,,,,,,,0,,,,897,,,0,,0,,,0,,,,,,,,,,,,,0,,,,121,,,,,0,,,0,,,,,,,,,,,,,0,,,,86,,,,,0,,,0,,,
177,Sixth Street,North of Binney Street,"(42.366516031700002, -71.086003108300005)","300 Bent Street TIS, Nov. 10, 1999, VHB.",,,,,,,,,,2450,,,,,,,0,,0,,,0,,,,,,,,,,,,,280,,,,,,,,,0,,,0,,,,,,,,,,,,,200,,,,,,,,,0,,,0,,,
178,Sixth Street,North of Bent Street,"(42.367755999700002, -71.085698000400001)","300 Bent Street TIS, Nov. 10, 1999, VHB.",,,,,,,,,,2190,,,,,,,0,,0,,,0,,,,,,,,,,,,,200,,,,,,,,,0,,,0,,,,,,,,,,,,,235,,,,,,,,,0,,,0,,,
179,Concord Avenue,East of Blanchard,"(42.390873745199897, -71.156889008700006)",Cordon Counts,,,,,,,,,17780,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1487,0,,,,,,,,,0,,,0,,,,,,,,,,,,1273,0,,,,,,,,,0,,,0,,,
180,Huron Avenue,East of Grove Street,"(42.382060915099899, -71.157364812400004)",Cordon Counts,,,,,,,,,10595,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1238,0,,,,,,,,,0,,,0,,,,,,,,,,,,972,0,,,,,,,,,0,,,0,,,
181,Huron Avenue,West of Larch Rd.,"(42.380182218500003, -71.143844373099896)",Cordon Counts; 2013 TP&T Citywide Counts(Used Wed &Thu Average);,,,,,,,,,10371,0,,,,,,,0,,0,,,0,,9018,,,,,,,,,,982,0,,,,,,,,,0,,,0,,702,,,,,,,,,,1126,0,,,,,,,,,0,,,0,,631,
182,J.F.K. Street,North of Memorial Drive,"(42.370031921299898, -71.122271630900002)","1998, Cordon Count; Aug. 2010 Functional Design Report for Rehab of Anderson Memorial Bridge, MassDot, prepared by FST.",,,,,,,,,24639,0,,,,,,,0,,0,,20900,0,,,,,,,,,,,,1511,0,,,,,,,,,0,,1620,0,,,,,,,,,,,,1625,0,,,,,,,,,0,,1370,0,,,
183,Kirkland Street,East of Myrtle Avenue,"(42.378017468000003, -71.107608486499899)",Cordon Counts,,,,,,,,,14342,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1021,0,,,,,,,,,0,,,0,,,,,,,,,,,,1077,0,,,,,,,,,0,,,0,,,
183,Kirkland Street,East of Myrtle Avenue,,Cordon Counts,,,,,,,,,14342,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1021,0,,,,,,,,,0,,,0,,,,,,,,,,,,1077,0,,,,,,,,,0,,,0,,,
184,Land Boulevard,South of O'Brien Hwy.,"(42.368868536000001, -71.0734090694)","1998 Cordon Count & North Point TIS, Oct. 29, 2002.",,,,,,,,,35592,0,,,32600,,,,0,,0,,,0,,,,,,,,,,,,2359,0,,,2160,,,,,,0,,,0,,,,,,,,,,,,3443,0,,,2520,,,,,,0,,,0,,,
185,Magazine Street,North of Memorial Drive,"(42.356462074500001, -71.114004945600001)",Cordon Counts.  TPT Cambridgeport ADT's May 2011.,,,,,,,,,3064,0,,,,,,,0,,0,,,3012,,,,,,,,,,,,203,0,,,,,,,,,0,,,0,,,,,,,,,,,,331,0,,,,,,,,,0,,,0,,,
186,Main Street,West of Memorial Drive.  Between Longfellow bridge and Third Street.,"(42.361993044199899, -71.080646688599899)","1998 Cordon Counts. 2013 Longfellow Gateway Pedestrian Crossing Evaluation,  McMahon for Kathy Watkins, DPW.",,,,,,,,,25278,0,,,,,,,0,,0,,,0,,25551,,,,,,,,,,1871,0,,,,,,,,,0,,,0,,,,,,,,,,,,2061,0,,,,,,,,,0,,,0,,,
188,Massachusetts Avenue,South or East of Magoun Street,"(42.400316584700001, -71.134752150799898)",1998 Cordon Counts; Tyler Green Residential TIS (counts in April 2011); 2013 TP&T Citywide Counts.(2013 counts used wed & Thur Average),,,,,,,,,29347,0,,,,,,,0,,0,,,0,25805,21891,,,,,,,,,,2422,0,,,,,,,,,0,,,0,1904,1409,,,,,,,,,,2297,0,,,,,,,,,0,,,0,2013,1458,
189,Memorial Drive,South of Mt. Auburn Street,"(42.374233330499898, -71.126469229999898)",Cordon Counts,,,,,,,,,9096,0,,,,,,,0,,0,,,0,,,,,,,,,,,,644,0,,,,,,,,,0,,,0,,,,,,,,,,,,668,0,,,,,,,,,0,,,0,,,
190,Mt. Auburn Street,West of Trail Street,"(42.375057000300004, -71.136835999900001)","Cordon Counts. Mount Auburn Hospital Expansion TIS, May 31, 2005. ATR counts are from Nov. 17, 2004. 2013 TP&T Citywide Counts(Used Wed &Thu Average);",,,,,,,,,12050,0,,,,,11310,,0,,0,,,0,,11155,,,,,,,,,,1026,0,,,,,915,,,,0,,,0,,743,,,,,,,,,,1019,0,,,,,800,,,,0,,,0,,906,
191,Mt. Auburn Street,West of Homer Ave.,"(42.374870524800002, -71.148643339800003)",Cordon Counts,25076,21417,21304,,,,,,22111,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1279,0,,,,,,,,,0,,,0,,,,,,,,,,,,1538,0,,,,,,,,,0,,,0,,,
192,O'Brien Highway,East of Land Blvd.,"(42.368929480399899, -71.072739973799898)",Cordon Counts,,,,,,,,,45270,0,,,,,,,0,,0,,,0,,,,,,,,,,,,3349,0,,,,,,,,,0,,,0,,,,,,,,,,,,2489,0,,,,,,,,,0,,,0,,,
194,Oxford Street,North of Forest Street,"(42.385339122700003, -71.116136421700006)",Cordon Counts,3810,6963,6631,,,,,,4987,0,,,,,,,0,,0,,,0,,,,,,,,,,,,366,0,,,,,,,,,0,,,0,,,,,,,,,,,,409,0,,,,,,,,,0,,,0,,,
196,Plympton Street,East of Memorial Drive,"(42.369752000399899, -71.118027000300003)",Cordon Counts,1901,2020,2017,,,,,,2128,0,,,,,,,0,,0,,,0,,,,,,,,,,,,174,0,,,,,,,,,0,,,0,,,,,,,,,,,,205,0,,,,,,,,,0,,,0,,,
197,Prospect Street,North of Cambridge Street,"(42.373663145199899, -71.097928198999895)",Cordon Counts; 2013 TP&T Citywide Counts(Used Wed &Thu Average),12664,12113,13616,,,,,,14778,0,,,,,,,0,,0,,,0,,10683,,,,,,,,,,852,0,,,,,,,,,0,,,0,,561,,,,,,,,,,1027,0,,,,,,,,,0,,,0,,699,
199,River Street,East of Memorial Drive,"(42.3616663634999, -71.1153001805)",Cordon Counts;2013 TP&T Citywide Counts(Used Wed &Thu Average),,14968,17568,,,,,,17386,0,,,,,,,0,,0,,,0,,11637,,,,,,,,,,1193,0,,,,,,,,,0,,,0,,778,,,,,,,,,,1293,0,,,,,,,,,0,,,0,,771,
201,Russell Street,East of Mass. Avenue,"(42.391569965400002, -71.123734459999895)",Cordon Counts,,,,,,,,,3290,0,,,,,,,0,,0,,,0,,,,,,,,,,,,277,0,,,,,,,,,0,,,0,,,,,,,,,,,,320,0,,,,,,,,,0,,,0,,,
202,Scott Street,West of Bryant,"(42.379350999800003, -71.109811000500002)",Cordon Counts,1557,1755,,,,,,,1461,0,,,,,,,0,,0,,,0,,,,,,,,,,,,69,0,,,,,,,,,0,,,0,,,,,,,,,,,,181,0,,,,,,,,,0,,,0,,,
203,Somerville Avenue,East of White Street,"(42.388251999799898, -71.118569000500003)",Cordon Counts,13396,17146,20333,,,,,,17053,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1228,0,,,,,,,,,0,,,0,,,,,,,,,,,,1227,0,,,,,,,,,0,,,0,,,
204,Springfield Street,North of Cambridge Street,"(42.3741860003, -71.100412000299897)",Cordon Counts,,,,,,,,,3331,0,,,,,,,0,,0,,,0,,,,,,,,,,,,292,0,,,,,,,,,0,,,0,,,,,,,,,,,,270,0,,,,,,,,,0,,,0,,,
205,T Access Road (Alewife),North of Egress Rd.,"(42.396856000100001, -71.143309000499897)",Cordon Counts,,,,,,,,,10266,0,,,,,,,0,,0,,,0,,,,,,,,,,,,2529,0,,,,,,,,,0,,,0,,,,,,,,,,,,649,0,,,,,,,,,0,,,0,,,
207,Third Street,South of O'Brien Hwy.,"(42.3721897341999, -71.079574130300003)",Cordon Counts,8532,12845,14192,,,,,,14184,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1052,0,,,,,,,,,0,,,0,,,,,,,,,,,,1374,0,,,,,,,,,0,,,0,,,
208,Vasser Street,North of Memorial Drive,"(42.3540900003999, -71.107042999800001)",Cordon Counts,2601,4697,6169,,,,,,5677,0,,,,,,,0,,0,,,0,,,,,,,,,,,,659,0,,,,,,,,,0,,,0,,,,,,,,,,,,482,0,,,,,,,,,0,,,0,,,
209,Wadsworth Street,North of Memorial Drive,"(42.360667263000003, -71.084121573399898)",Cordon Counts,6958,7039,4763,,,,,,3257,0,,,,,,,0,,0,,,0,,,,,,,,,,,,438,0,,,,,,,,,0,,,0,,,,,,,,,,,,207,0,,,,,,,,,0,,,0,,,
210,Warren Street,North of Cambridge St.,"(42.372399066600003, -71.088197632299895)",Cordon Counts,,,,,,,,,4898,0,,,,,,,0,,0,,,0,,,,,,,,,,,,245,0,,,,,,,,,0,,,0,,,,,,,,,,,,466,0,,,,,,,,,0,,,0,,,
211,Webster Avenue,North of Cambridge Street,"(42.3730571076999, -71.094325778400005)",Cordon Counts,9983,8208,9159,,,,,,9143,0,,,,,,,0,,0,,,0,,,,,,,,,,,,633,0,,,,,,,,,0,,,0,,,,,,,,,,,,749,0,,,,,,,,,0,,,0,,,
213,Mt. Auburn Street,West of Eliot Street,"(42.372967149399898, -71.1218465713999)","Conductor's Building Restoration Proejct, TIS, June 2008.",,,,,,,,,,0,,,,,,,0,,5720,,,0,,,,,,,,,,,,,0,,,,,,,,,400,,,0,,,,,,,,,,,,,0,,,,,,,,,360,,,0,,,
214,Broadway,West of Main Street,"(42.3625257254999, -71.084104577600002)","MIT Sloan School of Mangement, Project Review Special Permit Application, Jan. 8, 2007.",,,,,,,,,,0,,,,,,,19501,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
215,Wadsworth Street,South of Main Street,"(42.361901461099897, -71.084308523499899)","MIT Sloan School of Mangement, Project Review Special Permit Application, Jan. 8, 2007.",,,,,,,,,,0,,,,,,,2412,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
216,Main Street,East of Wadsworth Street,"(42.3621081617, -71.0837261689)","MIT Sloan School of Mangement, Project Review Special Permit Application, Jan. 8, 2007.",,,,,,,,,,0,,,,,,,4706,,0,,,0,,,,,,,,,,,,,0,,,,,,,290,,0,,,0,,,,,,,,,,,,,0,,,,,,,379,,0,,,0,,,
218,Route 2,"Exit ramp, east of Acorn Park Drive","(42.398670852999899, -71.145772473799894)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,11100,,0,,0,,,0,,,,,,,,,,,,,0,,,,,1972,,,,0,,,0,,,,,,,,,,,,,0,,,,,866,,,,0,,,0,,,
220,Blanchard, ,"(42.392525543399898, -71.157744495200006)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,960,,0,,0,,,0,,,,,,,,,,,,,0,,,,,364,,,,0,,,0,,,,,,,,,,,,,0,,,,,288,,,,0,,,0,,,
